iter	Passed	Remaining
0	2	210
1	4	237
2	7	239
3	9	222
4	11	221
5	13	214
6	15	205
7	17	203
8	19	196
9	21	196
10	23	193
11	25	187
12	27	181
13	28	176
14	30	172
15	32	170
16	34	167
17	35	163
18	37	160
19	39	156
20	40	153
21	42	150
22	43	147
23	45	143
24	46	140
25	48	137
26	49	134
27	51	132
28	52	129
29	54	126
30	55	123
31	56	120
32	57	117
33	59	115
34	60	112
35	61	110
36	63	107
37	64	105
38	65	103
39	67	100
40	68	98
41	68	95
42	70	93
43	71	90
44	72	88
45	73	86
46	74	84
47	76	82
48	77	80
49	78	78
50	79	76
51	80	74
52	82	72
53	83	71
54	84	68
55	85	66
56	86	65
57	87	63
58	88	61
59	90	60
60	91	58
61	92	56
62	94	55
63	95	53
64	96	51
65	97	50
66	98	48
67	99	47
68	101	45
69	102	43
70	104	42
71	105	40
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	117	25
82	118	24
83	119	22
84	120	21
85	121	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	135	4
97	136	2
98	137	1
99	138	0
