iter	Passed	Remaining
0	141	141127
1	149	74666
2	162	53940
3	169	42231
4	198	39438
5	211	34967
6	256	36345
7	263	32633
8	269	29651
9	274	27168
10	286	25770
11	296	24395
12	336	25561
13	358	25230
14	369	24243
15	376	23180
16	390	22580
17	400	21863
18	404	20890
19	414	20307
20	426	19862
21	429	19115
22	436	18562
23	465	18940
24	475	18537
25	491	18427
26	504	18182
27	512	17791
28	522	17495
29	537	17394
30	550	17220
31	562	17026
32	596	17477
33	619	17611
34	624	17225
35	659	17652
36	662	17246
37	667	16902
38	701	17273
39	714	17141
40	716	16754
41	725	16556
42	755	16818
43	760	16530
44	765	16255
45	774	16060
46	780	15821
47	787	15611
48	796	15452
49	799	15187
50	811	15092
51	817	14904
52	844	15091
53	856	15003
54	871	14968
55	873	14732
56	877	14514
57	883	14353
58	893	14255
59	905	14181
60	911	14024
61	913	13825
62	923	13738
63	938	13731
64	952	13697
65	961	13613
66	966	13465
67	969	13291
68	992	13387
69	1005	13360
70	1016	13295
71	1021	13170
72	1028	13055
73	1042	13045
74	1050	12957
75	1069	13000
76	1076	12904
77	1092	12908
78	1097	12796
79	1122	12914
80	1130	12830
81	1134	12703
82	1136	12559
83	1140	12438
84	1144	12325
85	1159	12319
86	1169	12270
87	1177	12206
88	1192	12202
89	1226	12402
90	1242	12407
91	1246	12301
92	1251	12208
93	1274	12285
94	1305	12438
95	1373	12931
96	1403	13066
97	1418	13051
98	1422	12950
99	1435	12915
100	1506	13406
101	1517	13361
102	1533	13358
103	1549	13345
104	1554	13253
105	1565	13204
106	1570	13110
107	1582	13068
108	1586	12971
109	1601	12956
110	1627	13032
111	1632	12944
112	1642	12895
113	1650	12829
114	1681	12943
115	1689	12871
116	1707	12888
117	1744	13036
118	1761	13043
119	1777	13033
120	1804	13105
121	1812	13043
122	1822	12993
123	1845	13034
124	1894	13259
125	1904	13209
126	1911	13137
127	1927	13130
128	1932	13051
129	1959	13111
130	1964	13032
131	1981	13028
132	1997	13022
133	2003	12951
134	2013	12898
135	2033	12920
136	2036	12827
137	2042	12757
138	2056	12736
139	2059	12650
140	2061	12559
141	2063	12466
142	2065	12377
143	2070	12306
144	2082	12278
145	2090	12229
146	2095	12160
147	2102	12101
148	2110	12054
149	2116	11995
150	2122	11936
151	2127	11869
152	2131	11799
153	2136	11734
154	2141	11673
155	2146	11613
156	2151	11552
157	2155	11484
158	2160	11425
159	2165	11366
160	2169	11305
161	2173	11243
162	2177	11181
163	2180	11116
164	2185	11060
165	2189	10998
166	2191	10932
167	2195	10870
168	2199	10813
169	2203	10757
170	2206	10699
171	2210	10639
172	2213	10579
173	2216	10523
174	2220	10467
175	2223	10408
176	2226	10352
177	2229	10295
178	2232	10239
179	2235	10183
180	2239	10131
181	2243	10085
182	2248	10036
183	2252	9989
184	2255	9937
185	2261	9895
186	2264	9844
187	2269	9800
188	2275	9765
189	2279	9717
190	2282	9668
191	2285	9616
192	2289	9574
193	2294	9530
194	2309	9532
195	2312	9487
196	2315	9438
197	2317	9387
198	2322	9346
199	2330	9323
200	2337	9291
